county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Anchorage,Alaska,17774,0.03239640478004214,0.6470588235294118,299321,3203,15.041432026,38,3.837479855,175.389598430272,14.991107133,5.4939124712,1006.6571953,857.1,2427.3826346,5938.106581228848,1070.0886339414876,5938.106581228848
Anderson,South Carolina,8489,-13.656027017360907,0.9748334566987417,74356.50080515293,1318.3752012882442,18.497230506210144,45.353462157809986,4.3665793536071655,140.11404106454376,18.0634064732029,3.4394065833371177,353.75732004238165,389.92012882447665,3526.634641662319,11416.6211536029,1773.0463201098892,11416.6211536029
Andrew,Missouri,870,0.025786411644530452,0.5,17347,205,18.23372316,49,4.2464931452,40.089836948418,16.336582174,2.6639132679,184.17796196,250.6,2068.5900924999996,5015.2764166714705,1181.7605349628177,5015.2764166714705
Andrews,Texas,1097,0.0233116977370262,0.8333333333333334,17215,180,13.4363002,24,4.2638848549,11.4711552297133,19.851002217,2.398209337,493.88847502,366.8,6525.777984200001,6372.349695033401,1045.599767644496,6372.349695033401
Androscoggin,Maine,1659,0.02470250383170307,0.6666666666666666,107376,1488,16.449206191,50,4.6369599316,229.469503268805,13.448855437,3.2967231149,139.0762361,533.2,2334.6989119,1545.0379973178365,1385.7845328565043,1545.0379973178365
Angelina,Texas,3879,0.026782536098892935,0.6666666666666666,87657,1375,15.856965822,48,4.4429767067,109.876234722379,20.900429989,4.3881693408,311.67123784,478.3,4176.6682669,4425.202779013655,1568.6140296838814,4425.202779013655
Anne Arundel,Maryland,17639,0.032719243473375716,0.5,559737,6299,13.675421228,53,3.7098072123,1349.13090207999,12.171960063,3.3407299025,452.59909533,389.9,1409.5204451,3151.3014147715803,1125.349941133068,3151.3014147715803
Anoka,Minnesota,23888,0.03447249813515487,0.5,341249,3129,14.520691847,48,3.4210206253,806.784426687563,11.88727407,2.7631672652,127.23293806,352.3,1087.2153004,7000.167033456508,916.9257638850223,7000.167033456508
Anson,North Carolina,978,0.02452523168236071,0.6666666666666666,25883,511,20.217104679,45,5.0270471926999996,48.7014976470622,22.774451061,4.4681464399,427.55011448,664.2,3728.8793941000004,3778.5419000888614,1974.2688250975543,3778.5419000888614
Antelope,Nebraska,357,0.02123380137541065,0.5,6421,70,14.201672857,31,3.8975023046,7.49051516943181,13.622175287,2.3782876329,97.847358121,141.5,1038.5756677,5559.881638374085,1090.1728702694284,5559.881638374085
Antrim,Michigan,529,0.02100874325810839,0.3333333333333333,23215,316,16.385554035,43,4.0073670072,48.8015182973184,14.002848344,5.6176441499,118.46299647,227.5,2050.6912442000003,2278.6991169502476,1361.1888864958,2278.6991169502476
Apache,Arizona,5702,0.026906506225779843,0.42857142857142855,72346,1296,21.513107022,38,7.6315514721,6.46092981529062,25.951201969,10.065327849,108.96799672,892.4,3733.0206196,7881.569126143809,1791.3913692533106,7881.569126143809
Appanoose,Iowa,834,0.024097073910352058,0.5,12602,202,16.839793466,36,4.5508307192,25.3412053328402,15.912165255,3.3128415301,218.97519608,372.4,3118.3255019,6617.997143310586,1602.9201714013648,6617.997143310586
Appling,Georgia,1364,0.020950978167131692,0.6666666666666666,18410,329,20.18941483,31,4.7601847466,36.3027861822426,22.395262135,4.3454223795,379.19826652,480.5,5861.0895946,7409.016838674634,1787.0722433460076,7409.016838674634
Appomattox,Virginia,425,0.02184307427483195,0.6666666666666666,15314,243,17.134619679,52,4.6063352517,45.9228742104375,16.56063666,3.6425243541,113.91745866,459.2,2661.9627967,2775.2383439989553,1586.7833355099908,2775.2383439989553
Aransas,Texas,449,0.022439558531164087,0.5,24729,492,14.157452328,42,5.2647134019,98.0981368041486,20.550540941,5.7106845065,476.54828759,477.1,4032.8253224,1815.6819928019734,1989.566905252942,1815.6819928019734
Arapahoe,Colorado,29259,0.03381554081496214,0.5714285714285714,617668,5228,13.263552471,53,3.980582245,774.088913895269,11.684058075,3.2228447278,329.9652518,578.2,1784.8652482999998,4737.01082134739,846.4093979289845,4737.01082134739
Archer,Texas,295,0.025168234313717543,0.5,8750,125,14.062606986,46,4.3990064356,9.68869858836363,13.891397662,3.0831739962,201.65162282,204.3,2340.6374502,3371.4285714285716,1428.5714285714287,3371.4285714285716
Archuleta,Colorado,295,0.018068814837104926,0.8333333333333334,12355,154,13.476071073,32,3.9221422329,9.15124488005202,13.831244068,3.4064665127,190.26029227,150.2,1889.4662258,2387.697288547147,1246.4589235127478,2387.697288547147
Arenac,Michigan,482,0.02243085812311036,0.5,15327,276,18.485783597,39,4.0393296675,42.2009408465579,15.811227659,7.1141613659,256.09057519,226,2707.516922,3144.777190578717,1800.74378547661,3144.777190578717
Arkansas,Arkansas,1023,0.02228389332524225,0.5,18569,364,20.0832304,41,5.5522347507,18.7793119734212,23.123405671,3.3958103638,472.89628709,612.2,5630.387931,5509.1819699499165,1960.256341213851,5509.1819699499165
